match_id,series_id,match_details,result,Team1,Score1,Team2,Score2,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs
335982,313494,"1st match:RCB v KKR at Bangalore- Apr 18, 2008",KKR won by 140 runs,KKR,222,RCB,82,18/04/08,Bangalore,1st match,RCB,KKR,KKR,140,,,KKR,222,3,20,20,RCB,82,10,15.1,20
335983,313494,"2nd match:KXIP v CSK at Mohali- Apr 19, 2008",CSK won by 33 runs,CSK,240,KXIP,207,19/04/08,Mohali,2nd match,KXIP,CSK,CSK,33,,,CSK,240,5,20,20,KXIP,207,4,20,20
335984,313494,"3rd match:DD v RR at Delhi- Apr 19, 2008",DD won by 9 wickets (with 29 balls remaining),RR,129,DD,132,19/04/08,Delhi,3rd match,DD,RR,DD,,9,29,RR,129,8,20,20,DD,132,1,15.1,20
335986,313494,"4th match:KKR v DC at Kolkata- Apr 20, 2008",KKR won by 5 wickets (with 6 balls remaining),DC,110,KKR,112,20/04/08,Kolkata,4th match,KKR,DC,KKR,,5,6,DC,110,10,18.4,20,KKR,112,5,19,20
335985,313494,"5th match:MI v RCB at Mumbai- Apr 20, 2008",RCB won by 5 wickets (with 2 balls remaining),MI,165,RCB,166,20/04/08,Mumbai,5th match,MI,RCB,RCB,,5,2,MI,165,6,20,20,RCB,166,5,19.4,20
335987,313494,"6th match:RR v KXIP at Jaipur- Apr 21, 2008",RR won by 6 wickets (with 11 balls remaining),KXIP,166,RR,168,21/04/08,Jaipur,6th match,RR,KXIP,RR,,6,11,KXIP,166,8,20,20,RR,168,4,18.1,20
335988,313494,"7th match:DC v DD at Hyderabad (Deccan)- Apr 22, 2008",DD won by 9 wickets (with 42 balls remaining),DC,142,DD,143,22/04/08,Hyderabad (Deccan),7th match,DC,DD,DD,,9,42,DC,142,8,20,20,DD,143,1,13,20
335989,313494,"8th match:CSK v MI at Chennai- Apr 23, 2008",CSK won by 6 runs,CSK,208,MI,202,23/04/08,Chennai,8th match,CSK,MI,CSK,6,,,CSK,208,5,20,20,MI,202,7,20,20
335990,313494,"9th match:DC v RR at Hyderabad (Deccan)- Apr 24, 2008",RR won by 3 wickets (with 1 ball remaining),DC,214,RR,217,24/04/08,Hyderabad (Deccan),9th match,DC,RR,RR,,3,1,DC,214,5,20,20,RR,217,7,19.5,20
335991,313494,"10th match:KXIP v MI at Mohali- Apr 25, 2008",KXIP won by 66 runs,KXIP,182,MI,116,25/04/08,Mohali,10th match,KXIP,MI,KXIP,66,,,KXIP,182,10,20,20,MI,116,9,20,20
335993,313494,"11th match:CSK v KKR at Chennai- Apr 26, 2008",CSK won by 9 wickets (with 18 balls remaining),KKR,147,CSK,152,26/04/08,Chennai,11th match,CSK,KKR,CSK,,9,18,KKR,147,9,20,20,CSK,152,1,17,20
335992,313494,"12th match:RCB v RR at Bangalore- Apr 26, 2008",RR won by 7 wickets (with 17 balls remaining),RCB,135,RR,138,26/04/08,Bangalore,12th match,RCB,RR,RR,,7,17,RCB,135,8,20,20,RR,138,3,17.1,20
335995,313494,"13th match:KXIP v DD at Mohali- Apr 27, 2008",KXIP won by 4 wickets (with 3 balls remaining),DD,158,KXIP,162,27/04/08,Mohali,13th match,KXIP,DD,KXIP,,4,3,DD,158,8,20,20,KXIP,162,6,19.3,20
335994,313494,"14th match:MI v DC at Mumbai- Apr 27, 2008",DC won by 10 wickets (with 48 balls remaining),MI,154,DC,155,27/04/08,Mumbai,14th match,MI,DC,DC,,10,48,MI,154,7,20,20,DC,155,0,12,20
335996,313494,"15th match:RCB v CSK at Bangalore- Apr 28, 2008",CSK won by 13 runs,CSK,178,RCB,165,28/04/08,Bangalore,15th match,RCB,CSK,CSK,13,,,CSK,178,5,20,20,RCB,165,10,19.4,20
335997,313494,"16th match:KKR v MI at Kolkata- Apr 29, 2008",MI won by 7 wickets (with 8 balls remaining),KKR,137,MI,138,29/04/08,Kolkata,16th match,KKR,MI,MI,,7,8,KKR,137,8,20,20,MI,138,3,18.4,20
